session_duration,cart_value,product_views,return_velocity,scroll_changes,revisit_count,add_to_cart,remove_from_cart,checkout_visits,hover_time,comparison_clicks,wishlist_actions,target
39,1080,88,2.4475338975357652,30,11,6,0,1,88,8,3,1
52,2219,72,7.497749406805251,4,19,5,4,0,26,1,9,0
29,3845,45,6.093833541219772,48,7,6,6,4,223,18,5,2
15,277,65,1.6980948478202829,42,18,8,5,3,253,2,8,0
43,1646,4,0.9411317127575536,3,19,8,1,3,170,18,5,1
8,14286,61,3.666626152786069,1,4,1,6,2,495,16,7,0
21,10326,61,5.856974036607811,19,19,2,4,3,27,0,5,2
39,8590,43,5.56691013556183,48,18,1,1,0,294,2,4,0
58,14701,19,4.811922313513404,48,18,1,7,0,341,1,3,0
19,10859,86,4.787986027748973,0,14,8,9,1,2,6,0,1
23,3666,1,0.16491905517293404,17,15,4,5,1,215,3,2,0
11,12331,19,0.21582978752098803,35,3,6,0,2,129,0,5,0
11,374,51,4.077759832303341,27,5,4,3,0,160,9,2,0
24,14116,64,5.151746523557595,20,12,1,8,0,224,8,8,1
53,14234,63,6.755453222844137,7,0,6,1,0,135,9,4,0
36,3095,29,6.65220935737345,5,5,3,3,2,270,3,6,0
40,14182,19,9.851206131212095,42,19,5,9,4,167,14,7,2
24,152,43,3.917987248191619,17,7,1,0,4,349,15,9,1
3,7875,70,1.2674844217192904,36,0,4,3,1,83,10,2,0
22,14233,89,3.0097608860711267,14,8,0,2,2,111,1,5,0
53,9715,39,7.665546307977342,47,17,2,8,0,392,2,4,0
2,13825,23,2.4385803978313314,6,15,3,2,1,255,13,6,1
24,1727,1,8.174846469636186,39,18,3,6,2,61,0,2,0
44,6143,61,8.060565614853756,32,17,4,4,4,261,13,0,2
30,7923,79,4.692108502739516,33,15,6,7,2,422,9,3,1
38,8780,25,7.300721138978123,38,14,6,5,1,46,2,7,0
2,14937,4,8.012045903749888,3,13,7,0,1,264,10,0,1
21,10646,1,7.263126444390769,11,18,7,8,3,137,0,4,2
33,8708,40,3.1274016614433875,18,17,7,8,4,412,13,3,2
12,10848,21,1.6988600905528195,46,2,4,5,4,5,9,4,2
58,9212,43,1.1923581521253501,15,1,0,6,3,127,11,6,2
22,1653,10,9.634272039336825,28,15,8,6,4,51,2,3,0
44,10977,66,0.9448348258254824,8,13,7,9,1,236,4,3,1
25,8957,17,4.408701377978176,34,11,9,8,4,363,11,2,2
49,12393,13,1.0162719227543626,14,11,2,7,2,366,19,8,1
27,2569,91,7.947970202573571,6,11,7,8,4,380,6,7,2
59,1574,92,5.531362190302696,5,4,0,6,1,77,16,3,0
42,14825,10,1.7571297645049355,26,4,8,3,2,214,9,0,0
28,6577,52,9.596991756816223,9,3,0,7,3,131,15,2,2
16,13859,10,8.48358807183209,20,7,9,9,2,447,7,6,1
15,437,47,1.2696322301099783,7,7,5,7,2,147,14,2,1
47,7091,9,8.132793429396434,18,8,6,5,0,468,6,5,1
51,11451,98,8.444190943159649,29,14,2,9,3,262,16,2,2
44,8560,46,7.717991701578319,31,17,0,8,4,227,13,0,2
55,14500,68,3.5114781920020155,5,2,1,7,1,227,1,2,0
52,1187,54,2.5652024790792294,38,7,4,9,0,88,19,6,1
57,1393,68,5.249192186383973,37,0,7,0,4,7,12,0,0
3,8948,4,4.742474298457953,29,1,4,0,2,433,9,4,0
37,13788,75,5.836643032694151,43,17,5,4,0,466,18,4,1
51,6064,1,4.179879621467839,11,11,7,8,2,3,2,9,0
7,2928,85,2.107446775646867,2,1,6,3,0,176,12,2,0
21,6572,59,5.702112995328356,12,10,6,1,3,455,13,3,2
9,4073,25,5.375832796199026,17,14,1,2,3,488,16,7,2
39,6761,9,9.084035996577198,7,6,2,0,3,171,5,1,2
18,14044,25,6.352176815761319,31,9,0,7,0,23,13,7,1
4,5057,82,7.694838332378856,3,14,0,7,4,99,16,4,2
25,6664,71,4.271616796715979,42,3,3,9,0,363,2,6,0
14,1436,26,8.224349940074639,18,12,1,7,0,304,9,0,1
50,10648,56,3.096698959684127,17,6,0,4,2,276,11,7,1
58,1767,49,9.779032373526508,47,15,8,5,4,455,12,6,1
9,1925,82,8.156847027518843,37,12,6,8,0,231,6,2,1
